KEY,FREQ,REF_AREA,BANK_SELECTION,BLS_ITEM,BLS_COUNT,BLS_COUNT_DETAIL,TIME_HORIZON,EFFECT_DOMAIN,MARKET_ROLE,BLS_AGG_METHOD,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,COLLECTION,COMPILING_ORG,DISS_ORG,DECIMALS,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
BLS.Q.AT.ALL.SME.E.Z.F3.ST.S.FNET,Q,AT,ALL,SME,E,Z,F3,ST,S,FNET,2012-Q3,20,A,F,,,P3M,B,,,2,,Credit standards-Small- and medium-sized enterprises-Enterprise,Austria - All banks - Question on Small- and medium-sized enterprises - contract counterpart Enterprise - Forward looking three months - domain of Credit standards Loan supply Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.AT.ALL.SME.E.Z.F3.ST.S.FNET,Q,AT,ALL,SME,E,Z,F3,ST,S,FNET,2012-Q4,0,A,F,,,P3M,B,,,2,,Credit standards-Small- and medium-sized enterprises-Enterprise,Austria - All banks - Question on Small- and medium-sized enterprises - contract counterpart Enterprise - Forward looking three months - domain of Credit standards Loan supply Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.AT.ALL.SME.E.Z.F3.ST.S.FNET,Q,AT,ALL,SME,E,Z,F3,ST,S,FNET,2013-Q1,20,A,F,,,P3M,B,,,2,,Credit standards-Small- and medium-sized enterprises-Enterprise,Austria - All banks - Question on Small- and medium-sized enterprises - contract counterpart Enterprise - Forward looking three months - domain of Credit standards Loan supply Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.AT.ALL.SME.E.Z.F3.ST.S.FNET,Q,AT,ALL,SME,E,Z,F3,ST,S,FNET,2013-Q2,14.285714149475098,A,F,,,P3M,B,,,2,,Credit standards-Small- and medium-sized enterprises-Enterprise,Austria - All banks - Question on Small- and medium-sized enterprises - contract counterpart Enterprise - Forward looking three months - domain of Credit standards Loan supply Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.AT.ALL.SME.E.Z.F3.ST.S.FNET,Q,AT,ALL,SME,E,Z,F3,ST,S,FNET,2013-Q3,28.571428298950195,A,F,,,P3M,B,,,2,,Credit standards-Small- and medium-sized enterprises-Enterprise,Austria - All banks - Question on Small- and medium-sized enterprises - contract counterpart Enterprise - Forward looking three months - domain of Credit standards Loan supply Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.AT.ALL.SME.E.Z.F3.ST.S.FNET,Q,AT,ALL,SME,E,Z,F3,ST,S,FNET,2013-Q4,0,A,F,,,P3M,B,,,2,,Credit standards-Small- and medium-sized enterprises-Enterprise,Austria - All banks - Question on Small- and medium-sized enterprises - contract counterpart Enterprise - Forward looking three months - domain of Credit standards Loan supply Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.AT.ALL.SME.E.Z.F3.ST.S.FNET,Q,AT,ALL,SME,E,Z,F3,ST,S,FNET,2014-Q1,-14.285714149475098,A,F,,,P3M,B,,,2,,Credit standards-Small- and medium-sized enterprises-Enterprise,Austria - All banks - Question on Small- and medium-sized enterprises - contract counterpart Enterprise - Forward looking three months - domain of Credit standards Loan supply Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.AT.ALL.SME.E.Z.F3.ST.S.FNET,Q,AT,ALL,SME,E,Z,F3,ST,S,FNET,2014-Q2,0,A,F,,,P3M,B,,,2,,Credit standards-Small- and medium-sized enterprises-Enterprise,Austria - All banks - Question on Small- and medium-sized enterprises - contract counterpart Enterprise - Forward looking three months - domain of Credit standards Loan supply Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.AT.ALL.SME.E.Z.F3.ST.S.FNET,Q,AT,ALL,SME,E,Z,F3,ST,S,FNET,2014-Q3,0,A,F,,,P3M,B,,,2,,Credit standards-Small- and medium-sized enterprises-Enterprise,Austria - All banks - Question on Small- and medium-sized enterprises - contract counterpart Enterprise - Forward looking three months - domain of Credit standards Loan supply Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.AT.ALL.SME.E.Z.F3.ST.S.FNET,Q,AT,ALL,SME,E,Z,F3,ST,S,FNET,2014-Q4,14.285714149475098,A,F,,,P3M,B,,,2,,Credit standards-Small- and medium-sized enterprises-Enterprise,Austria - All banks - Question on Small- and medium-sized enterprises - contract counterpart Enterprise - Forward looking three months - domain of Credit standards Loan supply Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.AT.ALL.SME.E.Z.F3.ST.S.FNET,Q,AT,ALL,SME,E,Z,F3,ST,S,FNET,2015-Q1,14.285714149475098,A,F,,,P3M,B,,,2,,Credit standards-Small- and medium-sized enterprises-Enterprise,Austria - All banks - Question on Small- and medium-sized enterprises - contract counterpart Enterprise - Forward looking three months - domain of Credit standards Loan supply Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.AT.ALL.SME.E.Z.F3.ST.S.FNET,Q,AT,ALL,SME,E,Z,F3,ST,S,FNET,2015-Q2,42.85714340209961,A,F,,,P3M,B,,,2,,Credit standards-Small- and medium-sized enterprises-Enterprise,Austria - All banks - Question on Small- and medium-sized enterprises - contract counterpart Enterprise - Forward looking three months - domain of Credit standards Loan supply Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.AT.ALL.SME.E.Z.F3.ST.S.FNET,Q,AT,ALL,SME,E,Z,F3,ST,S,FNET,2015-Q3,14.285714149475098,A,F,,,P3M,B,,,2,,Credit standards-Small- and medium-sized enterprises-Enterprise,Austria - All banks - Question on Small- and medium-sized enterprises - contract counterpart Enterprise - Forward looking three months - domain of Credit standards Loan supply Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.AT.ALL.SME.E.Z.F3.ST.S.FNET,Q,AT,ALL,SME,E,Z,F3,ST,S,FNET,2015-Q4,0,A,F,,,P3M,B,,,2,,Credit standards-Small- and medium-sized enterprises-Enterprise,Austria - All banks - Question on Small- and medium-sized enterprises - contract counterpart Enterprise - Forward looking three months - domain of Credit standards Loan supply Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.AT.ALL.SME.E.Z.F3.ST.S.FNET,Q,AT,ALL,SME,E,Z,F3,ST,S,FNET,2016-Q1,0,A,F,,,P3M,B,,,2,,Credit standards-Small- and medium-sized enterprises-Enterprise,Austria - All banks - Question on Small- and medium-sized enterprises - contract counterpart Enterprise - Forward looking three months - domain of Credit standards Loan supply Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.AT.ALL.SME.E.Z.F3.ST.S.FNET,Q,AT,ALL,SME,E,Z,F3,ST,S,FNET,2016-Q2,14.285714149475098,A,F,,,P3M,B,,,2,,Credit standards-Small- and medium-sized enterprises-Enterprise,Austria - All banks - Question on Small- and medium-sized enterprises - contract counterpart Enterprise - Forward looking three months - domain of Credit standards Loan supply Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.AT.ALL.SME.E.Z.F3.ST.S.FNET,Q,AT,ALL,SME,E,Z,F3,ST,S,FNET,2016-Q3,28.571428298950195,A,F,,,P3M,B,,,2,,Credit standards-Small- and medium-sized enterprises-Enterprise,Austria - All banks - Question on Small- and medium-sized enterprises - contract counterpart Enterprise - Forward looking three months - domain of Credit standards Loan supply Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.AT.ALL.SME.E.Z.F3.ST.S.FNET,Q,AT,ALL,SME,E,Z,F3,ST,S,FNET,2016-Q4,0,A,F,,,P3M,B,,,2,,Credit standards-Small- and medium-sized enterprises-Enterprise,Austria - All banks - Question on Small- and medium-sized enterprises - contract counterpart Enterprise - Forward looking three months - domain of Credit standards Loan supply Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.AT.ALL.SME.E.Z.F3.ST.S.FNET,Q,AT,ALL,SME,E,Z,F3,ST,S,FNET,2017-Q1,-14.285714149475098,A,F,,,P3M,B,,,2,,Credit standards-Small- and medium-sized enterprises-Enterprise,Austria - All banks - Question on Small- and medium-sized enterprises - contract counterpart Enterprise - Forward looking three months - domain of Credit standards Loan supply Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.AT.ALL.SME.E.Z.F3.ST.S.FNET,Q,AT,ALL,SME,E,Z,F3,ST,S,FNET,2017-Q2,-14.285714149475098,A,F,,,P3M,B,,,2,,Credit standards-Small- and medium-sized enterprises-Enterprise,Austria - All banks - Question on Small- and medium-sized enterprises - contract counterpart Enterprise - Forward looking three months - domain of Credit standards Loan supply Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.AT.ALL.SME.E.Z.F3.ST.S.FNET,Q,AT,ALL,SME,E,Z,F3,ST,S,FNET,2017-Q3,-14.285714149475098,A,F,,,P3M,B,,,2,,Credit standards-Small- and medium-sized enterprises-Enterprise,Austria - All banks - Question on Small- and medium-sized enterprises - contract counterpart Enterprise - Forward looking three months - domain of Credit standards Loan supply Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.AT.ALL.SME.E.Z.F3.ST.S.FNET,Q,AT,ALL,SME,E,Z,F3,ST,S,FNET,2017-Q4,0,A,F,,,P3M,B,,,2,,Credit standards-Small- and medium-sized enterprises-Enterprise,Austria - All banks - Question on Small- and medium-sized enterprises - contract counterpart Enterprise - Forward looking three months - domain of Credit standards Loan supply Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.AT.ALL.SME.E.Z.F3.ST.S.FNET,Q,AT,ALL,SME,E,Z,F3,ST,S,FNET,2018-Q1,0,A,F,,,P3M,B,,,2,,Credit standards-Small- and medium-sized enterprises-Enterprise,Austria - All banks - Question on Small- and medium-sized enterprises - contract counterpart Enterprise - Forward looking three months - domain of Credit standards Loan supply Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.AT.ALL.SME.E.Z.F3.ST.S.FNET,Q,AT,ALL,SME,E,Z,F3,ST,S,FNET,2018-Q2,14.285714149475098,A,F,,,P3M,B,,,2,,Credit standards-Small- and medium-sized enterprises-Enterprise,Austria - All banks - Question on Small- and medium-sized enterprises - contract counterpart Enterprise - Forward looking three months - domain of Credit standards Loan supply Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.AT.ALL.SME.E.Z.F3.ST.S.FNET,Q,AT,ALL,SME,E,Z,F3,ST,S,FNET,2018-Q3,-14.285714149475098,A,F,,,P3M,B,,,2,,Credit standards-Small- and medium-sized enterprises-Enterprise,Austria - All banks - Question on Small- and medium-sized enterprises - contract counterpart Enterprise - Forward looking three months - domain of Credit standards Loan supply Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.AT.ALL.SME.E.Z.F3.ST.S.FNET,Q,AT,ALL,SME,E,Z,F3,ST,S,FNET,2018-Q4,-14.285714149475098,A,F,,,P3M,B,,,2,,Credit standards-Small- and medium-sized enterprises-Enterprise,Austria - All banks - Question on Small- and medium-sized enterprises - contract counterpart Enterprise - Forward looking three months - domain of Credit standards Loan supply Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.AT.ALL.SME.E.Z.F3.ST.S.FNET,Q,AT,ALL,SME,E,Z,F3,ST,S,FNET,2019-Q1,0,A,F,,,P3M,B,,,2,,Credit standards-Small- and medium-sized enterprises-Enterprise,Austria - All banks - Question on Small- and medium-sized enterprises - contract counterpart Enterprise - Forward looking three months - domain of Credit standards Loan supply Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.AT.ALL.SME.E.Z.F3.ST.S.FNET,Q,AT,ALL,SME,E,Z,F3,ST,S,FNET,2019-Q2,0,A,F,,,P3M,B,,,2,,Credit standards-Small- and medium-sized enterprises-Enterprise,Austria - All banks - Question on Small- and medium-sized enterprises - contract counterpart Enterprise - Forward looking three months - domain of Credit standards Loan supply Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.AT.ALL.SME.E.Z.F3.ST.S.FNET,Q,AT,ALL,SME,E,Z,F3,ST,S,FNET,2019-Q3,0,A,F,,,P3M,B,,,2,,Credit standards-Small- and medium-sized enterprises-Enterprise,Austria - All banks - Question on Small- and medium-sized enterprises - contract counterpart Enterprise - Forward looking three months - domain of Credit standards Loan supply Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
BLS.Q.AT.ALL.SME.E.Z.F3.ST.S.FNET,Q,AT,ALL,SME,E,Z,F3,ST,S,FNET,2019-Q4,28.571428298950195,A,F,,,P3M,B,,,2,,Credit standards-Small- and medium-sized enterprises-Enterprise,Austria - All banks - Question on Small- and medium-sized enterprises - contract counterpart Enterprise - Forward looking three months - domain of Credit standards Loan supply Net percentage (frequency of tightened minus that of eased or reverse),UNITS,0
