KEY,FREQ,REF_AREA,BANK_SELECTION,BLS_ITEM,BLS_COUNT,BLS_COUNT_DETAIL,TIME_HORIZON,EFFECT_DOMAIN,MARKET_ROLE,BLS_AGG_METHOD,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,COLLECTION,COMPILING_ORG,DISS_ORG,DECIMALS,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
BLS.Q.AT.ALL.O.E.SME.B3.TC.S.FNET,Q,AT,ALL,O,E,SME,B3,TC,S,FNET,2018-Q3,14.285714149475098,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Austria - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.AT.ALL.O.E.SME.B3.TC.S.FNET,Q,AT,ALL,O,E,SME,B3,TC,S,FNET,2018-Q4,0,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Austria - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.AT.ALL.O.E.SME.B3.TC.S.FNET,Q,AT,ALL,O,E,SME,B3,TC,S,FNET,2019-Q1,0,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Austria - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.AT.ALL.O.E.SME.B3.TC.S.FNET,Q,AT,ALL,O,E,SME,B3,TC,S,FNET,2019-Q2,14.285714149475098,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Austria - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.AT.ALL.O.E.SME.B3.TC.S.FNET,Q,AT,ALL,O,E,SME,B3,TC,S,FNET,2019-Q3,0,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Austria - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.AT.ALL.O.E.SME.B3.TC.S.FNET,Q,AT,ALL,O,E,SME,B3,TC,S,FNET,2019-Q4,-14.285714149475098,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Austria - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.AT.ALL.O.E.SME.B3.TC.S.FNET,Q,AT,ALL,O,E,SME,B3,TC,S,FNET,2020-Q1,-14.285714149475098,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Austria - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.AT.ALL.O.E.SME.B3.TC.S.FNET,Q,AT,ALL,O,E,SME,B3,TC,S,FNET,2020-Q2,28.571428298950195,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Austria - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.AT.ALL.O.E.SME.B3.TC.S.FNET,Q,AT,ALL,O,E,SME,B3,TC,S,FNET,2020-Q3,28.571428298950195,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Austria - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.AT.ALL.O.E.SME.B3.TC.S.FNET,Q,AT,ALL,O,E,SME,B3,TC,S,FNET,2020-Q4,28.571428298950195,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Austria - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.AT.ALL.O.E.SME.B3.TC.S.FNET,Q,AT,ALL,O,E,SME,B3,TC,S,FNET,2021-Q1,28.571428298950195,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Austria - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.AT.ALL.O.E.SME.B3.TC.S.FNET,Q,AT,ALL,O,E,SME,B3,TC,S,FNET,2021-Q2,14.285714149475098,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Austria - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.AT.ALL.O.E.SME.B3.TC.S.FNET,Q,AT,ALL,O,E,SME,B3,TC,S,FNET,2021-Q3,0,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Austria - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.AT.ALL.O.E.SME.B3.TC.S.FNET,Q,AT,ALL,O,E,SME,B3,TC,S,FNET,2021-Q4,0,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Austria - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.AT.ALL.O.E.SME.B3.TC.S.FNET,Q,AT,ALL,O,E,SME,B3,TC,S,FNET,2022-Q1,14.285714149475098,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Austria - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.AT.ALL.O.E.SME.B3.TC.S.FNET,Q,AT,ALL,O,E,SME,B3,TC,S,FNET,2022-Q2,28.571428298950195,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Austria - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.AT.ALL.O.E.SME.B3.TC.S.FNET,Q,AT,ALL,O,E,SME,B3,TC,S,FNET,2022-Q3,14.285714149475098,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Austria - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.AT.ALL.O.E.SME.B3.TC.S.FNET,Q,AT,ALL,O,E,SME,B3,TC,S,FNET,2022-Q4,28.571428298950195,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Austria - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.AT.ALL.O.E.SME.B3.TC.S.FNET,Q,AT,ALL,O,E,SME,B3,TC,S,FNET,2023-Q1,42.85714340209961,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Austria - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.AT.ALL.O.E.SME.B3.TC.S.FNET,Q,AT,ALL,O,E,SME,B3,TC,S,FNET,2023-Q2,28.571428298950195,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Austria - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.AT.ALL.O.E.SME.B3.TC.S.FNET,Q,AT,ALL,O,E,SME,B3,TC,S,FNET,2023-Q3,14.285714149475098,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Austria - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.AT.ALL.O.E.SME.B3.TC.S.FNET,Q,AT,ALL,O,E,SME,B3,TC,S,FNET,2023-Q4,14.285714149475098,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Austria - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.AT.ALL.O.E.SME.B3.TC.S.FNET,Q,AT,ALL,O,E,SME,B3,TC,S,FNET,2024-Q1,14.285714285714285,A,,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Austria - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.AT.ALL.O.E.SME.B3.TC.S.FNET,Q,AT,ALL,O,E,SME,B3,TC,S,FNET,2024-Q2,0,A,,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Austria - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.AT.ALL.O.E.SME.B3.TC.S.FNET,Q,AT,ALL,O,E,SME,B3,TC,S,FNET,2024-Q3,14.285714285714285,A,,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Austria - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.AT.ALL.O.E.SME.B3.TC.S.FNET,Q,AT,ALL,O,E,SME,B3,TC,S,FNET,2024-Q4,0,A,,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Austria - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.AT.ALL.O.E.SME.B3.TC.S.FNET,Q,AT,ALL,O,E,SME,B3,TC,S,FNET,2025-Q1,14.285714285714285,A,,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Austria - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.AT.ALL.O.E.SME.B3.TC.S.FNET,Q,AT,ALL,O,E,SME,B3,TC,S,FNET,2025-Q2,0,A,,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Austria - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.AT.ALL.O.E.SME.B3.TC.S.FNET,Q,AT,ALL,O,E,SME,B3,TC,S,FNET,2025-Q3,0,A,,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Austria - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.AT.ALL.O.E.SME.B3.TC.S.FNET,Q,AT,ALL,O,E,SME,B3,TC,S,FNET,2025-Q4,-14.285714285714285,A,,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Austria - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.AT.ALL.O.E.SME.B3.TC.S.FNET,Q,AT,ALL,O,E,SME,B3,TC,S,FNET,2026-Q1,0,A,,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Austria - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.AT.ALL.O.E.SME.B3.TC.S.FNET,Q,AT,ALL,O,E,SME,B3,TC,S,FNET,2026-Q2,0,A,,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Austria - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.BE.ALL.O.E.SME.B3.TC.S.FNET,Q,BE,ALL,O,E,SME,B3,TC,S,FNET,2015-Q2,-25,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Belgium - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.BE.ALL.O.E.SME.B3.TC.S.FNET,Q,BE,ALL,O,E,SME,B3,TC,S,FNET,2015-Q3,-50,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Belgium - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.BE.ALL.O.E.SME.B3.TC.S.FNET,Q,BE,ALL,O,E,SME,B3,TC,S,FNET,2015-Q4,-50,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Belgium - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.BE.ALL.O.E.SME.B3.TC.S.FNET,Q,BE,ALL,O,E,SME,B3,TC,S,FNET,2016-Q1,-50,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Belgium - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.BE.ALL.O.E.SME.B3.TC.S.FNET,Q,BE,ALL,O,E,SME,B3,TC,S,FNET,2016-Q2,0,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Belgium - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.BE.ALL.O.E.SME.B3.TC.S.FNET,Q,BE,ALL,O,E,SME,B3,TC,S,FNET,2016-Q3,-50,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Belgium - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.BE.ALL.O.E.SME.B3.TC.S.FNET,Q,BE,ALL,O,E,SME,B3,TC,S,FNET,2016-Q4,-50,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Belgium - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.BE.ALL.O.E.SME.B3.TC.S.FNET,Q,BE,ALL,O,E,SME,B3,TC,S,FNET,2017-Q1,-25,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Belgium - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.BE.ALL.O.E.SME.B3.TC.S.FNET,Q,BE,ALL,O,E,SME,B3,TC,S,FNET,2017-Q2,-25,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Belgium - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.BE.ALL.O.E.SME.B3.TC.S.FNET,Q,BE,ALL,O,E,SME,B3,TC,S,FNET,2017-Q3,0,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Belgium - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.BE.ALL.O.E.SME.B3.TC.S.FNET,Q,BE,ALL,O,E,SME,B3,TC,S,FNET,2017-Q4,-25,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Belgium - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.BE.ALL.O.E.SME.B3.TC.S.FNET,Q,BE,ALL,O,E,SME,B3,TC,S,FNET,2018-Q1,0,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Belgium - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.BE.ALL.O.E.SME.B3.TC.S.FNET,Q,BE,ALL,O,E,SME,B3,TC,S,FNET,2018-Q2,-25,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Belgium - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.BE.ALL.O.E.SME.B3.TC.S.FNET,Q,BE,ALL,O,E,SME,B3,TC,S,FNET,2018-Q3,-25,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Belgium - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.BE.ALL.O.E.SME.B3.TC.S.FNET,Q,BE,ALL,O,E,SME,B3,TC,S,FNET,2018-Q4,-25,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Belgium - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.BE.ALL.O.E.SME.B3.TC.S.FNET,Q,BE,ALL,O,E,SME,B3,TC,S,FNET,2019-Q1,-25,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Belgium - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.BE.ALL.O.E.SME.B3.TC.S.FNET,Q,BE,ALL,O,E,SME,B3,TC,S,FNET,2019-Q2,0,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Belgium - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.BE.ALL.O.E.SME.B3.TC.S.FNET,Q,BE,ALL,O,E,SME,B3,TC,S,FNET,2019-Q3,25,A,F,,,P3M,B,,,2,,Credit terms and conditions-Overall-Enterprise,"Belgium - All banks - Question on Overall - contract counterpart Enterprise, motivation Small and medium-sized enterprises - Backward looking three months - domain of Credit terms and conditions Loan supply Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
